,rf,dimensionality,noise_level,test_problem
Comb1,mini-max,2,0.05,F2
Comb2,mini-max,2,0.05,F3
Comb3,mini-max,2,0.05,F7
Comb4,mini-max,2,0.05,F9
Comb5,mini-max,2,0.05,F10
Comb6,mini-max,2,0.05,F13
Comb7,mini-max,2,0.05,F15
Comb8,mini-max,2,0.05,F16
Comb9,mini-max,2,0.05,F20
Comb10,mini-max,2,0.05,F24
Comb11,mini-max,2,0.1,F2
Comb12,mini-max,2,0.1,F3
Comb13,mini-max,2,0.1,F7
Comb14,mini-max,2,0.1,F9
Comb15,mini-max,2,0.1,F10
Comb16,mini-max,2,0.1,F13
Comb17,mini-max,2,0.1,F15
Comb18,mini-max,2,0.1,F16
Comb19,mini-max,2,0.1,F20
Comb20,mini-max,2,0.1,F24
Comb21,mini-max,5,0.05,F2
Comb22,mini-max,5,0.05,F3
Comb23,mini-max,5,0.05,F7
Comb24,mini-max,5,0.05,F9
Comb25,mini-max,5,0.05,F10
Comb26,mini-max,5,0.05,F13
Comb27,mini-max,5,0.05,F15
Comb28,mini-max,5,0.05,F16
Comb29,mini-max,5,0.05,F20
Comb30,mini-max,5,0.05,F24
Comb31,mini-max,5,0.1,F2
Comb32,mini-max,5,0.1,F3
Comb33,mini-max,5,0.1,F7
Comb34,mini-max,5,0.1,F9
Comb35,mini-max,5,0.1,F10
Comb36,mini-max,5,0.1,F13
Comb37,mini-max,5,0.1,F15
Comb38,mini-max,5,0.1,F16
Comb39,mini-max,5,0.1,F20
Comb40,mini-max,5,0.1,F24
Comb41,mini-max-regret,2,0.05,F2
Comb42,mini-max-regret,2,0.05,F3
Comb43,mini-max-regret,2,0.05,F7
Comb44,mini-max-regret,2,0.05,F9
Comb45,mini-max-regret,2,0.05,F10
Comb46,mini-max-regret,2,0.05,F13
Comb47,mini-max-regret,2,0.05,F15
Comb48,mini-max-regret,2,0.05,F16
Comb49,mini-max-regret,2,0.05,F20
Comb50,mini-max-regret,2,0.05,F24
Comb51,mini-max-regret,2,0.1,F2
Comb52,mini-max-regret,2,0.1,F3
Comb53,mini-max-regret,2,0.1,F7
Comb54,mini-max-regret,2,0.1,F9
Comb55,mini-max-regret,2,0.1,F10
Comb56,mini-max-regret,2,0.1,F13
Comb57,mini-max-regret,2,0.1,F15
Comb58,mini-max-regret,2,0.1,F16
Comb59,mini-max-regret,2,0.1,F20
Comb60,mini-max-regret,2,0.1,F24
Comb61,mini-max-regret,5,0.05,F2
Comb62,mini-max-regret,5,0.05,F3
Comb63,mini-max-regret,5,0.05,F7
Comb64,mini-max-regret,5,0.05,F9
Comb65,mini-max-regret,5,0.05,F10
Comb66,mini-max-regret,5,0.05,F13
Comb67,mini-max-regret,5,0.05,F15
Comb68,mini-max-regret,5,0.05,F16
Comb69,mini-max-regret,5,0.05,F20
Comb70,mini-max-regret,5,0.05,F24
Comb71,mini-max-regret,5,0.1,F2
Comb72,mini-max-regret,5,0.1,F3
Comb73,mini-max-regret,5,0.1,F7
Comb74,mini-max-regret,5,0.1,F9
Comb75,mini-max-regret,5,0.1,F10
Comb76,mini-max-regret,5,0.1,F13
Comb77,mini-max-regret,5,0.1,F15
Comb78,mini-max-regret,5,0.1,F16
Comb79,mini-max-regret,5,0.1,F20
Comb80,mini-max-regret,5,0.1,F24
Comb81,expectation,2,0.05,F2
Comb82,expectation,2,0.05,F3
Comb83,expectation,2,0.05,F7
Comb84,expectation,2,0.05,F9
Comb85,expectation,2,0.05,F10
Comb86,expectation,2,0.05,F13
Comb87,expectation,2,0.05,F15
Comb88,expectation,2,0.05,F16
Comb89,expectation,2,0.05,F20
Comb90,expectation,2,0.05,F24
Comb91,expectation,2,0.1,F2
Comb92,expectation,2,0.1,F3
Comb93,expectation,2,0.1,F7
Comb94,expectation,2,0.1,F9
Comb95,expectation,2,0.1,F10
Comb96,expectation,2,0.1,F13
Comb97,expectation,2,0.1,F15
Comb98,expectation,2,0.1,F16
Comb99,expectation,2,0.1,F20
Comb100,expectation,2,0.1,F24
Comb101,expectation,5,0.05,F2
Comb102,expectation,5,0.05,F3
Comb103,expectation,5,0.05,F7
Comb104,expectation,5,0.05,F9
Comb105,expectation,5,0.05,F10
Comb106,expectation,5,0.05,F13
Comb107,expectation,5,0.05,F15
Comb108,expectation,5,0.05,F16
